runtime_iterations,design,cycles,functional_correct,rtl_sha256
0,opaque_li,6,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
0,manual_static,7,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
0,latency_abstract,7,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
1,opaque_li,17,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
1,manual_static,14,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
1,latency_abstract,14,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
2,opaque_li,28,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
2,manual_static,21,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
2,latency_abstract,21,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
4,opaque_li,50,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
4,manual_static,35,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
4,latency_abstract,35,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
7,opaque_li,83,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
7,manual_static,56,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
7,latency_abstract,56,True,79599a00b41f3fa00f494268cc15f06635e8753275e16aab692b73fbc0b31776
